product_id,product_name,category,cost_price,retail_price,supplier
PROD_001,Apex Power Bank,Electronics,114.3,149.79,Global Distribution Inc.
PROD_002,Volt USB-C Hub,Electronics,64.5,96.56,Apex Logistics
PROD_003,Eco Tablet Pen,Electronics,88.6,145.45,PrimeRetail Corp
PROD_004,Aero Hair Dryer,Beauty & Personal Care,10.28,14.97,Apex Logistics
PROD_005,Luxe Electric Toothbrush,Beauty & Personal Care,56.46,113.19,EcoGroup Wholesale
PROD_006,Luxe Sunglasses,Apparel,98.0,139.92,PrimeRetail Corp
PROD_007,Luxe Camping Tent,Sports & Outdoors,110.12,189.45,Apex Logistics
PROD_008,Volt Resistance Bands,Sports & Outdoors,112.84,163.75,Apex Logistics
PROD_009,Aero Sports Hoodie,Apparel,19.36,33.63,Global Distribution Inc.
PROD_010,Eco Sports Hoodie,Apparel,136.75,232.16,Global Distribution Inc.
PROD_011,Aero Sleeping Bag,Sports & Outdoors,147.05,318.95,Apex Logistics
PROD_012,Volt Phone Charger,Electronics,79.4,163.75,Global Distribution Inc.
PROD_013,Apex Face Wash,Beauty & Personal Care,80.15,129.63,Apex Logistics
PROD_014,Terra Hair Dryer,Beauty & Personal Care,104.75,162.93,Apex Logistics
PROD_015,Aero Coffee Maker,Home & Kitchen,61.22,117.65,EcoGroup Wholesale
PROD_016,Prime USB-C Hub,Electronics,41.07,63.64,EcoGroup Wholesale
PROD_017,Volt Hiking Backpack,Sports & Outdoors,12.3,22.89,Global Distribution Inc.
PROD_018,Eco USB-C Hub,Electronics,127.07,243.63,Global Distribution Inc.
PROD_019,Luxe Shampoo,Beauty & Personal Care,51.56,91.46,PrimeRetail Corp
PROD_020,Eco Body Wash,Beauty & Personal Care,110.96,151.56,Global Distribution Inc.
PROD_021,Apex Smart Watch,Electronics,40.68,72.48,EcoGroup Wholesale
PROD_022,Prime Water Bottle,Home & Kitchen,105.03,229.55,Apex Logistics
PROD_023,Volt Woolen Socks,Apparel,55.49,108.14,Global Distribution Inc.
PROD_024,Apex Camping Tent,Sports & Outdoors,135.48,226.58,Apex Logistics
PROD_025,Luxe Laptop Stand,Electronics,14.54,26.97,Apex Logistics
PROD_026,Luxe Sleeping Bag,Sports & Outdoors,26.88,45.6,PrimeRetail Corp
PROD_027,Nexa Cotton T-Shirt,Apparel,67.21,104.63,Global Distribution Inc.
PROD_028,Aero Phone Charger,Electronics,124.62,164.73,Global Distribution Inc.
PROD_029,Nexa Smart Watch,Electronics,99.94,215.4,PrimeRetail Corp
PROD_030,Eco Cotton T-Shirt,Apparel,49.76,65.23,Global Distribution Inc.
PROD_031,Prime Hiking Backpack,Sports & Outdoors,105.47,203.69,Global Distribution Inc.
PROD_032,Aero Wireless Earbuds,Electronics,68.38,100.89,EcoGroup Wholesale
PROD_033,Prime Woolen Socks,Apparel,23.05,48.78,PrimeRetail Corp
PROD_034,Volt Air Fryer,Home & Kitchen,117.5,236.18,Apex Logistics
PROD_035,Eco Blender,Home & Kitchen,64.56,121.2,Global Distribution Inc.
PROD_036,Volt Sports Hoodie,Apparel,137.12,222.66,Global Distribution Inc.
PROD_037,Volt Water Bottle,Home & Kitchen,97.41,142.69,PrimeRetail Corp
PROD_038,Terra Moisturizer,Beauty & Personal Care,99.21,179.32,Apex Logistics
PROD_039,Apex Smart Watch,Electronics,8.75,15.15,PrimeRetail Corp
PROD_040,Terra Shampoo,Beauty & Personal Care,147.8,255.58,Global Distribution Inc.
PROD_041,Aero USB-C Hub,Electronics,145.39,234.02,Global Distribution Inc.
PROD_042,Volt Resistance Bands,Sports & Outdoors,6.88,13.9,Apex Logistics
PROD_043,Aero Lip Balm,Beauty & Personal Care,78.96,102.68,Global Distribution Inc.
PROD_044,Eco Waterproof Jacket,Sports & Outdoors,82.14,135.59,PrimeRetail Corp
PROD_045,Luxe Hair Dryer,Beauty & Personal Care,103.97,210.35,EcoGroup Wholesale
PROD_046,Apex Blender,Home & Kitchen,120.62,174.01,Apex Logistics
PROD_047,Prime Silicone Spatula,Home & Kitchen,16.05,33.35,EcoGroup Wholesale
PROD_048,Aero Bicycle Helmet,Sports & Outdoors,69.16,100.72,Apex Logistics
PROD_049,Apex Air Fryer,Home & Kitchen,122.32,244.21,Apex Logistics
PROD_050,Terra Power Bank,Electronics,22.49,44.14,Apex Logistics
PROD_051,Volt Woolen Socks,Apparel,53.77,112.82,Apex Logistics
PROD_052,Nexa Laptop Stand,Electronics,139.45,216.68,Global Distribution Inc.
PROD_053,Volt Body Wash,Beauty & Personal Care,51.95,70.29,PrimeRetail Corp
PROD_054,Luxe Denim Jacket,Apparel,50.79,70.94,EcoGroup Wholesale
PROD_055,Apex Camping Tent,Sports & Outdoors,27.0,51.43,Apex Logistics
PROD_056,Terra Sleeping Bag,Sports & Outdoors,65.93,111.42,PrimeRetail Corp
PROD_057,Terra Non-stick Pan,Home & Kitchen,112.42,210.95,EcoGroup Wholesale
PROD_058,Prime Face Wash,Beauty & Personal Care,111.91,186.36,Global Distribution Inc.
PROD_059,Eco Non-stick Pan,Home & Kitchen,44.32,66.28,Apex Logistics
PROD_060,Luxe Leather Belt,Apparel,30.72,64.19,EcoGroup Wholesale
PROD_061,Volt Moisturizer,Beauty & Personal Care,76.8,151.87,Apex Logistics
PROD_062,Aero Canvas Backpack,Apparel,94.81,168.63,PrimeRetail Corp
PROD_063,Eco Chef Knife,Home & Kitchen,137.92,191.4,Global Distribution Inc.
PROD_064,Aero Hiking Backpack,Sports & Outdoors,36.71,64.55,EcoGroup Wholesale
PROD_065,Eco Non-stick Pan,Home & Kitchen,16.89,35.84,Apex Logistics
PROD_066,Terra Bluetooth Speaker,Electronics,126.03,190.22,PrimeRetail Corp
PROD_067,Terra Yoga Mat,Sports & Outdoors,38.99,52.42,EcoGroup Wholesale
PROD_068,Nexa Leather Belt,Apparel,50.7,77.71,EcoGroup Wholesale
PROD_069,Eco Resistance Bands,Sports & Outdoors,84.5,139.5,EcoGroup Wholesale
PROD_070,Terra Bicycle Helmet,Sports & Outdoors,54.51,79.38,PrimeRetail Corp
PROD_071,Nexa Sleeping Bag,Sports & Outdoors,91.99,195.55,Apex Logistics
PROD_072,Volt Yoga Mat,Sports & Outdoors,117.63,246.41,EcoGroup Wholesale
PROD_073,Terra Denim Jacket,Apparel,29.14,47.48,EcoGroup Wholesale
PROD_074,Aero Sports Hoodie,Apparel,19.02,37.44,Apex Logistics
PROD_075,Apex Dumbbells,Sports & Outdoors,84.42,126.56,PrimeRetail Corp
PROD_076,Apex Camping Tent,Sports & Outdoors,123.43,270.35,PrimeRetail Corp
PROD_077,Nexa Shampoo,Beauty & Personal Care,47.48,94.15,Global Distribution Inc.
PROD_078,Apex Silicone Spatula,Home & Kitchen,146.81,214.01,EcoGroup Wholesale
PROD_079,Nexa Bicycle Helmet,Sports & Outdoors,128.41,182.6,Apex Logistics
PROD_080,Prime Sleeping Bag,Sports & Outdoors,96.52,125.51,EcoGroup Wholesale
PROD_081,Terra Sports Hoodie,Apparel,102.07,189.98,EcoGroup Wholesale
PROD_082,Nexa Lip Balm,Beauty & Personal Care,77.54,136.43,Global Distribution Inc.
PROD_083,Luxe Wireless Earbuds,Electronics,99.33,191.25,EcoGroup Wholesale
PROD_084,Luxe Body Wash,Beauty & Personal Care,110.94,162.62,Global Distribution Inc.
PROD_085,Luxe Silicone Spatula,Home & Kitchen,62.34,101.68,Apex Logistics
PROD_086,Nexa Face Wash,Beauty & Personal Care,111.22,239.78,Apex Logistics
PROD_087,Apex Moisturizer,Beauty & Personal Care,71.35,130.49,PrimeRetail Corp
PROD_088,Aero Canvas Backpack,Apparel,81.97,140.14,Global Distribution Inc.
PROD_089,Eco Tablet Pen,Electronics,101.09,134.92,EcoGroup Wholesale
PROD_090,Apex Power Bank,Electronics,64.95,106.64,Global Distribution Inc.
PROD_091,Terra Hair Dryer,Beauty & Personal Care,147.41,319.09,PrimeRetail Corp
PROD_092,Aero Woolen Socks,Apparel,118.88,235.82,Apex Logistics
PROD_093,Nexa Power Bank,Electronics,33.05,53.17,EcoGroup Wholesale
PROD_094,Eco Running Shoes,Apparel,53.56,82.12,PrimeRetail Corp
PROD_095,Volt Camping Tent,Sports & Outdoors,85.65,154.82,EcoGroup Wholesale
PROD_096,Eco Yoga Mat,Sports & Outdoors,105.22,170.47,PrimeRetail Corp
PROD_097,Terra Non-stick Pan,Home & Kitchen,91.65,122.75,Apex Logistics
PROD_098,Apex Power Bank,Electronics,31.86,69.66,Global Distribution Inc.
PROD_099,Aero Blender,Home & Kitchen,125.35,233.01,PrimeRetail Corp
PROD_100,Terra Yoga Mat,Sports & Outdoors,21.66,46.36,Global Distribution Inc.
PROD_101,Aero Sleeping Bag,Sports & Outdoors,135.59,190.18,EcoGroup Wholesale
PROD_102,Prime Sports Hoodie,Apparel,43.47,90.41,EcoGroup Wholesale
PROD_103,Terra Hair Dryer,Beauty & Personal Care,61.24,85.17,EcoGroup Wholesale
PROD_104,Apex Electric Toothbrush,Beauty & Personal Care,17.74,27.37,PrimeRetail Corp
PROD_105,Nexa Running Shoes,Apparel,34.98,52.87,PrimeRetail Corp
PROD_106,Aero Resistance Bands,Sports & Outdoors,107.03,166.02,Global Distribution Inc.
PROD_107,Apex USB-C Hub,Electronics,66.67,126.09,Global Distribution Inc.
PROD_108,Eco Resistance Bands,Sports & Outdoors,122.99,183.63,EcoGroup Wholesale
PROD_109,Aero Sunglasses,Apparel,76.6,133.68,PrimeRetail Corp
PROD_110,Apex Bluetooth Speaker,Electronics,112.22,164.91,EcoGroup Wholesale
PROD_111,Eco Dumbbells,Sports & Outdoors,43.15,70.85,EcoGroup Wholesale
PROD_112,Nexa Shampoo,Beauty & Personal Care,128.26,235.13,EcoGroup Wholesale
PROD_113,Eco Blender,Home & Kitchen,135.82,274.77,PrimeRetail Corp
PROD_114,Prime Resistance Bands,Sports & Outdoors,22.89,31.35,PrimeRetail Corp
PROD_115,Terra Face Wash,Beauty & Personal Care,52.4,113.2,Global Distribution Inc.
PROD_116,Prime Denim Jacket,Apparel,5.31,10.48,Global Distribution Inc.
PROD_117,Prime Laptop Stand,Electronics,140.77,234.91,Apex Logistics
PROD_118,Aero Shampoo,Beauty & Personal Care,145.57,281.89,PrimeRetail Corp
PROD_119,Eco Bicycle Helmet,Sports & Outdoors,20.03,32.67,Global Distribution Inc.
PROD_120,Terra Food Storage Set,Home & Kitchen,69.76,122.06,EcoGroup Wholesale
PROD_121,Aero Hair Dryer,Beauty & Personal Care,76.9,133.32,PrimeRetail Corp
PROD_122,Luxe Hiking Backpack,Sports & Outdoors,12.62,17.59,EcoGroup Wholesale
PROD_123,Prime Resistance Bands,Sports & Outdoors,148.82,283.63,PrimeRetail Corp
PROD_124,Terra Air Fryer,Home & Kitchen,17.79,23.62,Apex Logistics
